split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,EnIn,,60000,60000,1.8030449869791667,1.8054666666666668,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,108179.69921875,0,3,0.0364389643073082,0.24431166052818298,0.002362646162509918,0.4130029231309891,0.42408858239650726,60000,15000,17354,16196,16260,0.9027333333333334,0.22568333333333335,0.7802812031808228
train,windows_nonoverlap,PlFa,,60000,60000,1.6693584635416667,1.6717333333333333,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,100158.5078125,0,3,0.03640257567167282,0.24579577147960663,0.0023858845233917236,0.4115665555000305,0.42268330603837967,60000,15000,16387,15862,15196,0.8358666666666666,0.20896666666666666,0.7651186916458168
train,windows_nonoverlap,HePy,,60000,60000,1.7709666015625,1.7733333333333334,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,106254.99609375,0,3,0.036927103996276855,0.255509689450264,0.0024578049778938293,0.42494888603687286,0.4368065521121025,60000,15000,17149,16132,16072,0.8866666666666667,0.22166666666666668,0.7755554259723599
train,windows_nonoverlap,AeCa,,60000,60000,1.8745720052083332,1.8769333333333333,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,112471.3203125,0,3,0.0363612100481987,0.2380026876926422,0.002375960350036621,0.4083709418773651,0.4198383614420891,60000,15000,17801,16386,16700,0.9384666666666667,0.23461666666666667,0.7907982697601258
train,windows_nonoverlap,HaHi,,60000,60000,1.7618142578125,1.7642666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,105705.85546875,0,3,0.03693028539419174,0.23775164037942886,0.002509862184524536,0.41051145642995834,0.4220508262515068,60000,15000,17222,15955,16148,0.8821333333333333,0.22053333333333333,0.7683195912205318
train,windows_nonoverlap,AnCa,,60000,60000,1.3850830729166668,1.3876,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,83101.984375,0,3,0.03641586750745773,0.247848778963089,0.002439163625240326,0.40621527284383774,0.41727954149246216,60000,15000,17422,16298,16268,0.6938,0.17345,0.5973481804614855
train,windows_nonoverlap,WaMe,,60000,60000,1.916395703125,1.9188,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,114980.7421875,0,3,0.03644859790802002,0.26220298558473587,0.0023893266916275024,0.4440363869071007,0.45528075098991394,60000,15000,17805,16375,16700,0.9594,0.23985,0.8082561078348779
val,windows_nonoverlap,OrSa,,60000,60000,1.725958203125,1.7281333333333333,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,103554.4921875,0,3,0.036474309861660004,0.2522503435611725,0.002557329833507538,0.4261598140001297,0.4377911537885666,60000,15000,17607,16481,16400,0.8640666666666666,0.21601666666666666,0.7361276764923042
val,windows_nonoverlap,HoSa,,60000,60000,1.4166711588541667,1.4186666666666667,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,84997.26953125,0,3,0.036460891366004944,0.257720947265625,0.002471037209033966,0.41201838105916977,0.4231461212038994,60000,15000,17118,16105,15924,0.7093333333333334,0.17733333333333334,0.6215679401799276
val,windows_nonoverlap,DaRe,,60000,60000,1.4900539713541667,1.4922666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,89400.23828125,0,3,0.03650429844856262,0.25078587234020233,0.004019580781459808,0.41527385264635086,0.4295126050710678,60000,15000,10082,11576,8944,0.7461333333333333,0.18653333333333333,1.1100972029359255
val,windows_nonoverlap,ScPo,,60000,60000,1.9289451171875,1.9313333333333333,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,115733.70703125,0,3,0.03683798015117645,0.2621638625860214,0.0024302154779434204,0.43666133284568787,0.44824203848838806,60000,15000,17884,16418,16756,0.9656666666666667,0.24141666666666667,0.8099418474614181
val,windows_nonoverlap,EsCo,,60000,60000,1.8663646484375,1.8688,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,111978.87890625,0,3,0.03666779398918152,0.27463559061288834,0.002496756613254547,0.44917623698711395,0.4603753536939621,60000,15000,17640,16281,16536,0.9344,0.2336,0.7945578231292517
val,windows_nonoverlap,YeMi,,14737,14737,1.8022184276820248,1.8049806609214902,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,4912,,,,,,,,,,,,,26553.29296875,1,6,0.009487375617027283,0.0570710226893425,0.0007660016417503357,0.09774176776409149,0.10306106507778168,14737,3685,4301,3989,4140,0.9024903304607451,0.22562258261518628,0.7730760288305045
val,windows_nonoverlap,BuEb,,3788,3788,1.9635952040159714,1.9683210137275606,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,1262,,,,,,,,,,,,,7429.0986328125,2,9,0.00354795902967453,0.015075542032718658,0.00036448240280151367,0.026806212961673737,0.03690133988857269,3788,947,1245,1104,1312,0.9841605068637803,0.24604012671594508,0.7485943775100402
val,windows_nonoverlap,AgPh,,8794,8794,1.92961554042529,1.9322265180805094,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,2930,,,,,,,,,,,,,16954.0390625,4,15,0.006155721843242645,0.032577745616436005,0.000608690083026886,0.059821151196956635,0.06472785770893097,8794,2199,2737,2486,2688,0.9661132590402547,0.24152831476006367,0.7760321519912313
val,windows_nonoverlap,GaGa,,60000,60000,1.8411638020833334,1.8434666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,110466.828125,0,3,0.03690727800130844,0.28248807042837143,0.0026030242443084717,0.47189297527074814,0.48431388288736343,60000,15000,17534,16325,16420,0.9217333333333333,0.23043333333333332,0.7885251511349378
val,windows_nonoverlap,DrMe,,60000,60000,1.8884295572916667,1.8908,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,113302.7734375,0,3,0.03655519336462021,0.28346138447523117,0.0024556964635849,0.4694340378046036,0.48405712097883224,60000,15000,17705,16452,16524,0.9454,0.23635,0.8009601807399039
val,windows_nonoverlap,EnIn,,60000,60000,1.8811070963541667,1.8834666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,112863.42578125,0,3,0.03711549937725067,0.2845926582813263,0.0025050193071365356,0.4723576456308365,0.4847056344151497,60000,15000,17543,16349,16496,0.9417333333333333,0.23543333333333333,0.8052214558513368
val,windows_nonoverlap,PlFa,,60000,60000,1.8057895182291666,1.8081333333333334,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,108344.37109375,0,3,0.03643409162759781,0.27909963577985764,0.002418138086795807,0.45917603373527527,0.47044839709997177,60000,15000,16964,15950,15940,0.9040666666666667,0.22601666666666667,0.7993987267153974
val,windows_nonoverlap,HePy,,60000,60000,1.8144109375,1.8168,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,108861.65625,0,3,0.036479853093624115,0.2777779623866081,0.0024326592683792114,0.4690922424197197,0.4810398146510124,60000,15000,17069,16102,15984,0.9084,0.2271,0.7982892963852598
val,windows_nonoverlap,AeCa,,60000,60000,1.8897708984375,1.8921333333333332,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,113383.25390625,0,3,0.036589764058589935,0.28630635142326355,0.0024306178092956543,0.47081610560417175,0.482187919318676,60000,15000,17702,16309,16648,0.9460666666666666,0.23651666666666665,0.8016608292848266
val,windows_nonoverlap,HaHi,,60000,60000,1.7852991536458334,1.7877333333333334,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,107114.94921875,0,3,0.03651230037212372,0.27155185490846634,0.002450108528137207,0.44867756962776184,0.46005435287952423,60000,15000,17253,15947,16216,0.8938666666666667,0.22346666666666667,0.7771402075001449
val,windows_nonoverlap,AnCa,,60000,60000,1.6917695963541666,1.694,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,101503.17578125,0,3,0.036399468779563904,0.2974395155906677,0.002409227192401886,0.4730989933013916,0.4843904748558998,60000,15000,17523,16321,16352,0.847,0.21175,0.7250470809792844
val,windows_nonoverlap,WaMe,,60000,60000,1.9241064453125,1.9265333333333334,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,115443.38671875,0,3,0.036638274788856506,0.27775491029024124,0.0024299249053001404,0.4636382386088371,0.4747089818120003,60000,15000,17781,16358,16696,0.9632666666666667,0.24081666666666668,0.8126089646251617
test,windows_nonoverlap,OrSa,,60000,60000,1.8427048828125,1.8449333333333333,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,110559.29296875,0,3,0.03654571622610092,0.286086305975914,0.002418532967567444,0.4677044451236725,0.4787849560379982,60000,15000,17750,16480,16556,0.9224666666666667,0.23061666666666666,0.7795492957746479
test,windows_nonoverlap,HoSa,,60000,60000,1.6485073567708333,1.6506666666666667,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,98907.44140625,0,3,0.03646230697631836,0.2836131304502487,0.0024077296257019043,0.458613283932209,0.4697224274277687,60000,15000,17321,16193,16188,0.8253333333333334,0.20633333333333334,0.7147393337567115
test,windows_nonoverlap,DaRe,,60000,60000,1.6978358723958333,1.7,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,101867.15234375,0,3,0.03637009859085083,0.27631599456071854,0.002415090799331665,0.45183173567056656,0.4629082903265953,60000,15000,17295,16196,16160,0.85,0.2125,0.7372072853425846
test,windows_nonoverlap,ScPo,,60000,60000,1.9101006510416667,1.9125333333333334,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,114603.0390625,0,3,0.03640000522136688,0.2798192799091339,0.003436148166656494,0.46350786834955215,0.4758245274424553,60000,15000,15615,16025,14540,0.9562666666666667,0.23906666666666668,0.9186039065001601
test,windows_nonoverlap,EsCo,,60000,60000,1.8830802734375,1.8854666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,112981.81640625,0,3,0.03656578063964844,0.2748818099498749,0.0023994743824005127,0.45885438472032547,0.471327044069767,60000,15000,17676,16357,16472,0.9427333333333333,0.23568333333333333,0.8000113147770989
test,windows_nonoverlap,YeMi,,14739,14739,1.795168748727865,1.7982224031481104,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,4912,,,,,,,,,,,,,26446.9921875,3,12,0.009453922510147095,0.06464124470949173,0.0007841885089874268,0.10643637925386429,0.11179447174072266,14739,3685,4285,3974,4104,0.8991112015740552,0.2247778003935138,0.7731621936989498
test,windows_nonoverlap,BuEb,,3788,3788,1.9430384087084214,1.9493136219640972,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,1262,,,,,,,,,,,,,7351.2294921875,2,9,0.0035659000277519226,0.015327692031860352,0.00033073127269744873,0.027477242052555084,0.03210225701332092,3788,947,1244,1114,1300,0.9746568109820486,0.24366420274551215,0.7419614147909968
test,windows_nonoverlap,AgPh,,8794,8794,1.930214759352968,1.933136229247214,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,2930,,,,,,,,,,,,,16959.30859375,4,15,0.00616898387670517,0.03210200369358063,0.000582471489906311,0.05683770775794983,0.06146173179149628,8794,2199,2758,2486,2684,0.966568114623607,0.24164202865590176,0.7704858593183467
test,windows_nonoverlap,GaGa,,60000,60000,1.8103367838541666,1.8126666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,108617.20703125,0,3,0.036379337310791016,0.29304639250040054,0.0025277137756347656,0.47082801163196564,0.48198627680540085,60000,15000,17322,16132,16200,0.9063333333333333,0.22658333333333333,0.7848400877496825
test,windows_nonoverlap,DrMe,,60000,60000,1.8784958333333333,1.8808,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,112706.75,0,3,0.036615051329135895,0.2711021676659584,0.00241948664188385,0.4509028419852257,0.46253152936697006,60000,15000,17743,16415,16532,0.9404,0.2351,0.7950177534802457
test,windows_nonoverlap,EnIn,,60000,60000,1.86349375,1.8658666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,111806.625,0,3,0.03646044433116913,0.2760395482182503,0.002385556697845459,0.4621582180261612,0.4733576700091362,60000,15000,17412,16335,16240,0.9329333333333333,0.23323333333333332,0.8036985986675855
test,windows_nonoverlap,PlFa,,60000,60000,1.7698591145833333,1.7722666666666667,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,106188.546875,0,3,0.03650866448879242,0.30827027559280396,0.0024100393056869507,0.49135352671146393,0.5032607465982437,60000,15000,16617,15857,15620,0.8861333333333333,0.22153333333333333,0.7999037130649335
test,windows_nonoverlap,HePy,,60000,60000,1.8233631510416666,1.8257333333333334,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,109398.7890625,0,3,0.036729127168655396,0.2637355327606201,0.0024556145071983337,0.44250041246414185,0.4536188170313835,60000,15000,17213,16144,16172,0.9128666666666667,0.22821666666666668,0.7955033985940859
test,windows_nonoverlap,AeCa,,60000,60000,1.8833055989583334,1.8856,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,112995.3359375,0,3,0.03649136424064636,0.27221937477588654,0.0023957565426826477,0.45287711173295975,0.46417903900146484,60000,15000,17656,16336,16592,0.9428,0.2357,0.8009741730856366
test,windows_nonoverlap,HaHi,,60000,60000,1.9170015625,1.9193333333333333,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,115017.09375,0,3,0.036361292004585266,0.28576309233903885,0.0023869648575782776,0.4672337621450424,0.4789145886898041,60000,15000,17702,16204,16604,0.9596666666666667,0.23991666666666667,0.813184950853011
test,windows_nonoverlap,AnCa,,60000,60000,1.577978125,1.5802666666666667,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,94675.6875,0,3,0.03649120777845383,0.27999623119831085,0.0023981109261512756,0.4480132907629013,0.46056609600782394,60000,15000,16737,16107,15548,0.7901333333333334,0.19753333333333334,0.7081316842922866
test,windows_nonoverlap,WaMe,,60000,60000,1.921153125,1.9236,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,115266.1875,0,3,0.036351434886455536,0.2790197283029556,0.0024086609482765198,0.4689815789461136,0.48008160293102264,60000,15000,17791,16379,16700,0.9618,0.24045,0.8109156314990725
