record_index	seqid	official_start_1based	official_end_1based	length	raw_chars
44	NW_004443767.1	239611	239710	100	N
44	NW_004443767.1	243302	243401	100	N
44	NW_004443767.1	246548	246647	100	N
44	NW_004443767.1	258772	258871	100	N
44	NW_004443767.1	264523	264622	100	N
44	NW_004443767.1	327564	327663	100	N
44	NW_004443767.1	337668	337767	100	N
44	NW_004443767.1	339768	339867	100	N
44	NW_004443767.1	341176	341275	100	N
44	NW_004443767.1	345737	345836	100	N
44	NW_004443767.1	347885	347984	100	N
44	NW_004443767.1	417852	417951	100	N
44	NW_004443767.1	419684	419783	100	N
44	NW_004443767.1	426298	426397	100	N
44	NW_004443767.1	433143	433242	100	N
44	NW_004443767.1	442140	442239	100	N
44	NW_004443767.1	490374	490473	100	N
44	NW_004443767.1	493533	493632	100	N
44	NW_004443767.1	496591	496690	100	N
44	NW_004443767.1	498616	498715	100	N
44	NW_004443767.1	527763	527862	100	N
44	NW_004443767.1	540283	540382	100	N
44	NW_004443767.1	557775	557874	100	N
44	NW_004443767.1	565925	566024	100	N
44	NW_004443767.1	570309	570408	100	N
44	NW_004443767.1	588296	588395	100	N
44	NW_004443767.1	609972	610071	100	N
44	NW_004443767.1	626865	626964	100	N
44	NW_004443767.1	685909	686008	100	N
44	NW_004443767.1	714538	714637	100	N
44	NW_004443767.1	716496	716595	100	N
44	NW_004443767.1	718523	718622	100	N
44	NW_004443767.1	722695	722794	100	N
44	NW_004443767.1	725153	725252	100	N
44	NW_004443767.1	728124	728223	100	N
44	NW_004443767.1	739631	739730	100	N
44	NW_004443767.1	743796	743895	100	N
44	NW_004443767.1	749215	749314	100	N
44	NW_004443767.1	767955	768054	100	N
44	NW_004443767.1	771512	771611	100	N
44	NW_004443767.1	774185	774284	100	N
44	NW_004443767.1	778045	778144	100	N
44	NW_004443767.1	780430	780529	100	N
44	NW_004443767.1	781212	781311	100	N
44	NW_004443767.1	784993	785092	100	N
44	NW_004443767.1	792816	792915	100	N
44	NW_004443767.1	812886	812985	100	N
44	NW_004443767.1	814359	814458	100	N
50	NW_004443763.1	15671	15770	100	N
50	NW_004443763.1	22335	22434	100	N
50	NW_004443763.1	80737	80836	100	N
50	NW_004443763.1	84726	84825	100	N
50	NW_004443763.1	187128	187227	100	N
50	NW_004443763.1	188644	188743	100	N
50	NW_004443763.1	191605	191704	100	N
50	NW_004443763.1	224799	224898	100	N
50	NW_004443763.1	247801	247900	100	N
50	NW_004443763.1	277570	277669	100	N
50	NW_004443763.1	284832	284931	100	N
50	NW_004443763.1	316275	316374	100	N
50	NW_004443763.1	336925	337024	100	N
55	NW_004443761.1	2915	3014	100	N
55	NW_004443761.1	4569	4668	100	N
55	NW_004443761.1	9138	9237	100	N
55	NW_004443761.1	20773	20872	100	N
55	NW_004443761.1	42735	42834	100	N
55	NW_004443761.1	44023	44122	100	N
55	NW_004443761.1	46378	46477	100	N
55	NW_004443761.1	78076	78175	100	N
55	NW_004443761.1	80598	80697	100	N
55	NW_004443761.1	83423	83522	100	N
55	NW_004443761.1	84976	85075	100	N
56	NW_004443759.1	2896	2995	100	N
57	NW_004443757.1	2752	2851	100	N
57	NW_004443757.1	3969	4068	100	N
57	NW_004443757.1	5440	5539	100	N
57	NW_004443757.1	7331	7430	100	N
57	NW_004443757.1	9709	9808	100	N
58	NW_004443755.1	2745	2844	100	N
58	NW_004443755.1	6645	6744	100	N
58	NW_004443755.1	8093	8192	100	N
58	NW_004443755.1	22213	22312	100	N
58	NW_004443755.1	24546	24645	100	N
58	NW_004443755.1	27326	27425	100	N
58	NW_004443755.1	30244	30343	100	N
58	NW_004443755.1	38173	38272	100	N
58	NW_004443755.1	52393	52492	100	N
58	NW_004443755.1	54683	54782	100	N
58	NW_004443755.1	71746	71845	100	N
58	NW_004443755.1	76791	76890	100	N
59	NW_004443753.1	19170	19269	100	N
59	NW_004443753.1	41610	41709	100	N
59	NW_004443753.1	73742	73841	100	N
59	NW_004443753.1	103329	103428	100	N
59	NW_004443753.1	116755	116854	100	N
59	NW_004443753.1	166957	167056	100	N
59	NW_004443753.1	170130	170229	100	N
59	NW_004443753.1	172868	172967	100	N
59	NW_004443753.1	202372	202471	100	N
59	NW_004443753.1	206189	206288	100	N
59	NW_004443753.1	207568	207667	100	N
59	NW_004443753.1	223256	223355	100	N
59	NW_004443753.1	243027	243126	100	N
59	NW_004443753.1	249470	249569	100	N
59	NW_004443753.1	250897	250996	100	N
59	NW_004443753.1	255412	255511	100	N
60	NW_004443751.1	2462	2561	100	N
60	NW_004443751.1	6008	6107	100	N
64	NW_004443750.1	4120	4219	100	N
64	NW_004443750.1	15223	15322	100	N
64	NW_004443750.1	29201	29300	100	N
64	NW_004443750.1	31698	31797	100	N
64	NW_004443750.1	34306	34405	100	N
64	NW_004443750.1	38033	38132	100	N
64	NW_004443750.1	39992	40091	100	N
64	NW_004443750.1	51334	51433	100	N
64	NW_004443750.1	66519	66618	100	N
64	NW_004443750.1	69338	69437	100	N
64	NW_004443750.1	74101	74200	100	N
65	NW_004443747.1	1406	1505	100	N
65	NW_004443747.1	7689	7788	100	N
65	NW_004443747.1	9684	9783	100	N
65	NW_004443747.1	11971	12070	100	N
68	NW_004443746.1	2384	2483	100	N
68	NW_004443746.1	6218	6317	100	N
68	NW_004443746.1	10498	10597	100	N
68	NW_004443746.1	14199	14298	100	N
68	NW_004443746.1	15992	16091	100	N
68	NW_004443746.1	24795	24894	100	N
68	NW_004443746.1	29564	29663	100	N
68	NW_004443746.1	32475	32574	100	N
68	NW_004443746.1	34403	34502	100	N
68	NW_004443746.1	38312	38411	100	N
70	NW_004443744.1	1701	1800	100	N
70	NW_004443744.1	7341	7440	100	N
74	NW_004443740.1	8797	8896	100	N
77	NW_004443893.1	2128	2227	100	N
78	NW_004443736.1	1227	1326	100	N
78	NW_004443736.1	7322	7421	100	N
78	NW_004443736.1	9603	9702	100	N
78	NW_004443736.1	12184	12283	100	N
78	NW_004443736.1	14034	14133	100	N
78	NW_004443736.1	15987	16086	100	N
78	NW_004443736.1	26877	26976	100	N
78	NW_004443736.1	29613	29712	100	N
78	NW_004443736.1	62257	62356	100	N
78	NW_004443736.1	84286	84385	100	N
78	NW_004443736.1	91427	91526	100	N
78	NW_004443736.1	132566	132665	100	N
78	NW_004443736.1	141415	141514	100	N
80	NW_004443734.1	1433	1532	100	N
82	NW_004443732.1	25533	25632	100	N
82	NW_004443732.1	40931	41030	100	N
82	NW_004443732.1	49143	49242	100	N
82	NW_004443732.1	63258	63357	100	N
82	NW_004443732.1	64883	64982	100	N
82	NW_004443732.1	73212	73311	100	N
82	NW_004443732.1	84496	84595	100	N
82	NW_004443732.1	85984	86083	100	N
82	NW_004443732.1	88652	88751	100	N
82	NW_004443732.1	90497	90596	100	N
82	NW_004443732.1	92352	92451	100	N
82	NW_004443732.1	109324	109423	100	N
86	NW_004443728.1	4784	4883	100	N
86	NW_004443728.1	5795	5894	100	N
86	NW_004443728.1	9386	9485	100	N
86	NW_004443728.1	14151	14250	100	N
86	NW_004443728.1	25182	25281	100	N
88	NW_004443724.1	3313	3412	100	N
88	NW_004443724.1	4529	4628	100	N
89	NW_004443723.1	2899	2998	100	N
90	NW_004443720.1	2261	2360	100	N
90	NW_004443720.1	5448	5547	100	N
90	NW_004443720.1	7466	7565	100	N
90	NW_004443720.1	20570	20669	100	N
90	NW_004443720.1	53664	53763	100	N
90	NW_004443720.1	66575	66674	100	N
90	NW_004443720.1	82047	82146	100	N
90	NW_004443720.1	84050	84149	100	N
90	NW_004443720.1	115296	115395	100	N
90	NW_004443720.1	171048	171147	100	N
90	NW_004443720.1	195431	195530	100	N
90	NW_004443720.1	197156	197255	100	N
90	NW_004443720.1	198436	198535	100	N
90	NW_004443720.1	214930	215029	100	N
90	NW_004443720.1	217887	217986	100	N
90	NW_004443720.1	222441	222540	100	N
92	NW_004443715.1	1318	1417	100	N
92	NW_004443715.1	3385	3484	100	N
92	NW_004443715.1	12839	12938	100	N
95	NW_004443886.1	1739	1838	100	N
95	NW_004443886.1	11603	11702	100	N
95	NW_004443886.1	14757	14856	100	N
95	NW_004443886.1	23291	23390	100	N
95	NW_004443886.1	26065	26164	100	N
96	NW_004443713.1	2098	2197	100	N
96	NW_004443713.1	3680	3779	100	N
96	NW_004443713.1	11550	11649	100	N
101	NW_004443881.1	1015	1114	100	N
101	NW_004443881.1	2279	2378	100	N
101	NW_004443881.1	5331	5430	100	N
101	NW_004443881.1	10226	10325	100	N
103	NW_004443880.1	2010	2109	100	N
103	NW_004443880.1	5198	5297	100	N
103	NW_004443880.1	9621	9720	100	N
104	NW_004443709.1	1920	2019	100	N
104	NW_004443709.1	3526	3625	100	N
104	NW_004443709.1	6389	6488	100	N
107	NW_004443707.1	2575	2674	100	N
107	NW_004443707.1	8731	8830	100	N
107	NW_004443707.1	12970	13069	100	N
107	NW_004443707.1	15749	15848	100	N
107	NW_004443707.1	18460	18559	100	N
107	NW_004443707.1	31586	31685	100	N
110	NW_004443705.1	1841	1940	100	N
110	NW_004443705.1	3859	3958	100	N
112	NW_004443703.1	1458	1557	100	N
112	NW_004443703.1	11867	11966	100	N
112	NW_004443703.1	14040	14139	100	N
112	NW_004443703.1	20779	20878	100	N
112	NW_004443703.1	22720	22819	100	N
112	NW_004443703.1	29357	29456	100	N
117	NW_004443701.1	2278	2377	100	N
118	NW_004443870.1	1202	1301	100	N
119	NW_004443699.1	1296	1395	100	N
119	NW_004443699.1	5210	5309	100	N
119	NW_004443699.1	10076	10175	100	N
119	NW_004443699.1	27264	27363	100	N
119	NW_004443699.1	35266	35365	100	N
119	NW_004443699.1	37908	38007	100	N
119	NW_004443699.1	43085	43184	100	N
119	NW_004443699.1	45894	45993	100	N
119	NW_004443699.1	47559	47658	100	N
119	NW_004443699.1	56784	56883	100	N
119	NW_004443699.1	61424	61523	100	N
119	NW_004443699.1	70123	70222	100	N
119	NW_004443699.1	75183	75282	100	N
119	NW_004443699.1	76515	76614	100	N
119	NW_004443699.1	78015	78114	100	N
119	NW_004443699.1	104075	104174	100	N
119	NW_004443699.1	105714	105813	100	N
119	NW_004443699.1	113899	113998	100	N
119	NW_004443699.1	121293	121392	100	N
119	NW_004443699.1	127774	127873	100	N
119	NW_004443699.1	130356	130455	100	N
120	NW_004443696.1	1482	1581	100	N
120	NW_004443696.1	3153	3252	100	N
120	NW_004443696.1	8642	8741	100	N
120	NW_004443696.1	14088	14187	100	N
120	NW_004443696.1	15254	15353	100	N
120	NW_004443696.1	17544	17643	100	N
120	NW_004443696.1	22510	22609	100	N
120	NW_004443696.1	25455	25554	100	N
120	NW_004443696.1	33876	33975	100	N
120	NW_004443696.1	40718	40817	100	N
120	NW_004443696.1	55202	55301	100	N
120	NW_004443696.1	79732	79831	100	N
120	NW_004443696.1	82641	82740	100	N
120	NW_004443696.1	88130	88229	100	N
120	NW_004443696.1	106587	106686	100	N
123	NW_004443692.1	100560	100659	100	N
123	NW_004443692.1	109811	109910	100	N
123	NW_004443692.1	125913	126012	100	N
123	NW_004443692.1	169057	169156	100	N
123	NW_004443692.1	302289	302388	100	N
123	NW_004443692.1	307100	307199	100	N
123	NW_004443692.1	317898	317997	100	N
123	NW_004443692.1	319346	319445	100	N
123	NW_004443692.1	323840	323939	100	N
123	NW_004443692.1	326588	326687	100	N
123	NW_004443692.1	338257	338356	100	N
123	NW_004443692.1	363131	363230	100	N
123	NW_004443692.1	385202	385301	100	N
123	NW_004443692.1	386763	386862	100	N
123	NW_004443692.1	399092	399191	100	N
123	NW_004443692.1	414603	414702	100	N
123	NW_004443692.1	417058	417157	100	N
123	NW_004443692.1	431528	431627	100	N
123	NW_004443692.1	433087	433186	100	N
123	NW_004443692.1	436707	436806	100	N
123	NW_004443692.1	467660	467759	100	N
123	NW_004443692.1	472674	472773	100	N
123	NW_004443692.1	474978	475077	100	N
123	NW_004443692.1	479334	479433	100	N
123	NW_004443692.1	486687	486786	100	N
123	NW_004443692.1	488235	488334	100	N
123	NW_004443692.1	490441	490540	100	N
123	NW_004443692.1	505270	505369	100	N
123	NW_004443692.1	522071	522170	100	N
123	NW_004443692.1	525835	525934	100	N
123	NW_004443692.1	527114	527213	100	N
123	NW_004443692.1	534709	534808	100	N
123	NW_004443692.1	537383	537482	100	N
123	NW_004443692.1	544672	544771	100	N
123	NW_004443692.1	548315	548414	100	N
123	NW_004443692.1	555221	555320	100	N
123	NW_004443692.1	558440	558539	100	N
123	NW_004443692.1	574063	574162	100	N
123	NW_004443692.1	615985	616084	100	N
123	NW_004443692.1	617308	617407	100	N
123	NW_004443692.1	620450	620549	100	N
123	NW_004443692.1	648284	648383	100	N
123	NW_004443692.1	650627	650726	100	N
123	NW_004443692.1	653890	653989	100	N
123	NW_004443692.1	689315	689414	100	N
123	NW_004443692.1	697948	698047	100	N
123	NW_004443692.1	700367	700466	100	N
123	NW_004443692.1	749339	749438	100	N
123	NW_004443692.1	755575	755674	100	N
123	NW_004443692.1	756754	756853	100	N
123	NW_004443692.1	763036	763135	100	N
123	NW_004443692.1	778943	779042	100	N
123	NW_004443692.1	781053	781152	100	N
123	NW_004443692.1	801727	801826	100	N
123	NW_004443692.1	809308	809407	100	N
123	NW_004443692.1	826882	826981	100	N
123	NW_004443692.1	839484	839583	100	N
123	NW_004443692.1	868571	868670	100	N
123	NW_004443692.1	888312	888411	100	N
123	NW_004443692.1	947380	947479	100	N
123	NW_004443692.1	968211	968310	100	N
123	NW_004443692.1	982239	982338	100	N
123	NW_004443692.1	1009614	1009713	100	N
123	NW_004443692.1	1043425	1043524	100	N
123	NW_004443692.1	1131193	1131292	100	N
123	NW_004443692.1	1144480	1144579	100	N
123	NW_004443692.1	1148538	1148637	100	N
123	NW_004443692.1	1173404	1173503	100	N
123	NW_004443692.1	1211040	1211139	100	N
125	NW_004443690.1	1340	1439	100	N
125	NW_004443690.1	3050	3149	100	N
127	NW_004443688.1	2396	2495	100	N
129	NW_004443685.1	2036	2135	100	N
132	NW_004443681.1	37161	37260	100	N
132	NW_004443681.1	41790	41889	100	N
132	NW_004443681.1	44547	44646	100	N
132	NW_004443681.1	58396	58495	100	N
132	NW_004443681.1	61063	61162	100	N
132	NW_004443681.1	97514	97613	100	N
132	NW_004443681.1	128972	129071	100	N
132	NW_004443681.1	130891	130990	100	N
132	NW_004443681.1	135711	135810	100	N
132	NW_004443681.1	150908	151007	100	N
132	NW_004443681.1	161422	161521	100	N
132	NW_004443681.1	165482	165581	100	N
132	NW_004443681.1	168572	168671	100	N
132	NW_004443681.1	190574	190673	100	N
132	NW_004443681.1	201663	201762	100	N
133	NW_004443680.1	3345	3444	100	N
137	NW_004443678.1	2377	2476	100	N
137	NW_004443678.1	11563	11662	100	N
137	NW_004443678.1	12422	12521	100	N
137	NW_004443678.1	24208	24307	100	N
138	NW_004443860.1	1110	1209	100	N
142	NW_004443675.1	1995	2094	100	N
142	NW_004443675.1	5516	5615	100	N
142	NW_004443675.1	6927	7026	100	N
142	NW_004443675.1	23832	23931	100	N
142	NW_004443675.1	29947	30046	100	N
142	NW_004443675.1	34065	34164	100	N
142	NW_004443675.1	36781	36880	100	N
142	NW_004443675.1	38936	39035	100	N
142	NW_004443675.1	52938	53037	100	N
142	NW_004443675.1	66487	66586	100	N
142	NW_004443675.1	70277	70376	100	N
142	NW_004443675.1	78449	78548	100	N
142	NW_004443675.1	81978	82077	100	N
142	NW_004443675.1	85224	85323	100	N
142	NW_004443675.1	88333	88432	100	N
142	NW_004443675.1	89646	89745	100	N
145	NW_004443672.1	5030	5129	100	N
145	NW_004443672.1	9220	9319	100	N
145	NW_004443672.1	11885	11984	100	N
147	NW_004443670.1	1665	1764	100	N
147	NW_004443670.1	7248	7347	100	N
147	NW_004443670.1	29752	29851	100	N
147	NW_004443670.1	42654	42753	100	N
147	NW_004443670.1	43958	44057	100	N
147	NW_004443670.1	49845	49944	100	N
147	NW_004443670.1	52291	52390	100	N
147	NW_004443670.1	61883	61982	100	N
147	NW_004443670.1	71212	71311	100	N
147	NW_004443670.1	84635	84734	100	N
147	NW_004443670.1	93534	93633	100	N
147	NW_004443670.1	98534	98633	100	N
147	NW_004443670.1	119567	119666	100	N
147	NW_004443670.1	130283	130382	100	N
147	NW_004443670.1	139153	139252	100	N
155	NW_004443666.1	2032	2131	100	N
155	NW_004443666.1	3478	3577	100	N
156	NW_004443664.1	2438	2537	100	N
156	NW_004443664.1	10973	11072	100	N
156	NW_004443664.1	13825	13924	100	N
156	NW_004443664.1	17208	17307	100	N
156	NW_004443664.1	21143	21242	100	N
156	NW_004443664.1	33897	33996	100	N
156	NW_004443664.1	38540	38639	100	N
156	NW_004443664.1	41274	41373	100	N
156	NW_004443664.1	47336	47435	100	N
156	NW_004443664.1	49902	50001	100	N
156	NW_004443664.1	57180	57279	100	N
156	NW_004443664.1	76782	76881	100	N
156	NW_004443664.1	79422	79521	100	N
156	NW_004443664.1	81385	81484	100	N
156	NW_004443664.1	85136	85235	100	N
156	NW_004443664.1	86497	86596	100	N
156	NW_004443664.1	87952	88051	100	N
156	NW_004443664.1	95082	95181	100	N
156	NW_004443664.1	108170	108269	100	N
156	NW_004443664.1	138447	138546	100	N
156	NW_004443664.1	140303	140402	100	N
156	NW_004443664.1	147404	147503	100	N
156	NW_004443664.1	150447	150546	100	N
157	NW_004443662.1	1910	2009	100	N
166	NW_004443654.1	1295	1394	100	N
166	NW_004443654.1	2805	2904	100	N
166	NW_004443654.1	4650	4749	100	N
166	NW_004443654.1	5974	6073	100	N
166	NW_004443654.1	7763	7862	100	N
167	NW_004443648.1	1300	1399	100	N
167	NW_004443648.1	7667	7766	100	N
167	NW_004443648.1	45099	45198	100	N
167	NW_004443648.1	47932	48031	100	N
167	NW_004443648.1	56436	56535	100	N
167	NW_004443648.1	80442	80541	100	N
167	NW_004443648.1	117397	117496	100	N
167	NW_004443648.1	188392	188491	100	N
167	NW_004443648.1	203041	203140	100	N
167	NW_004443648.1	218439	218538	100	N
167	NW_004443648.1	281930	282029	100	N
167	NW_004443648.1	291973	292072	100	N
167	NW_004443648.1	317981	318080	100	N
167	NW_004443648.1	333005	333104	100	N
167	NW_004443648.1	415390	415489	100	N
167	NW_004443648.1	455574	455673	100	N
167	NW_004443648.1	491842	491941	100	N
167	NW_004443648.1	501031	501130	100	N
167	NW_004443648.1	511443	511542	100	N
167	NW_004443648.1	512691	512790	100	N
167	NW_004443648.1	527893	527992	100	N
167	NW_004443648.1	547435	547534	100	N
167	NW_004443648.1	549379	549478	100	N
167	NW_004443648.1	614687	614786	100	N
167	NW_004443648.1	726837	726936	100	N
167	NW_004443648.1	743322	743421	100	N
167	NW_004443648.1	790460	790559	100	N
167	NW_004443648.1	808137	808236	100	N
167	NW_004443648.1	809438	809537	100	N
167	NW_004443648.1	813553	813652	100	N
167	NW_004443648.1	835525	835624	100	N
167	NW_004443648.1	908284	908383	100	N
167	NW_004443648.1	930141	930240	100	N
167	NW_004443648.1	932091	932190	100	N
167	NW_004443648.1	980275	980374	100	N
167	NW_004443648.1	1046597	1046696	100	N
167	NW_004443648.1	1049326	1049425	100	N
167	NW_004443648.1	1083761	1083860	100	N
167	NW_004443648.1	1089409	1089508	100	N
167	NW_004443648.1	1097778	1097877	100	N
167	NW_004443648.1	1108365	1108464	100	N
167	NW_004443648.1	1119294	1119393	100	N
167	NW_004443648.1	1192483	1192582	100	N
167	NW_004443648.1	1200607	1200706	100	N
167	NW_004443648.1	1214178	1214277	100	N
167	NW_004443648.1	1217191	1217290	100	N
167	NW_004443648.1	1219620	1219719	100	N
167	NW_004443648.1	1222275	1222374	100	N
167	NW_004443648.1	1224275	1224374	100	N
167	NW_004443648.1	1225951	1226050	100	N
167	NW_004443648.1	1232308	1232407	100	N
167	NW_004443648.1	1235002	1235101	100	N
167	NW_004443648.1	1237397	1237496	100	N
167	NW_004443648.1	1245066	1245165	100	N
167	NW_004443648.1	1249909	1250008	100	N
167	NW_004443648.1	1276975	1277074	100	N
167	NW_004443648.1	1284196	1284295	100	N
167	NW_004443648.1	1293885	1293984	100	N
167	NW_004443648.1	1306506	1306605	100	N
167	NW_004443648.1	1311224	1311323	100	N
167	NW_004443648.1	1334730	1334829	100	N
167	NW_004443648.1	1342464	1342563	100	N
167	NW_004443648.1	1344363	1344462	100	N
169	NW_004443647.1	1929	2028	100	N
169	NW_004443647.1	6288	6387	100	N
169	NW_004443647.1	29183	29282	100	N
169	NW_004443647.1	35608	35707	100	N
169	NW_004443647.1	36371	36470	100	N
169	NW_004443647.1	52488	52587	100	N
169	NW_004443647.1	55620	55719	100	N
169	NW_004443647.1	57860	57959	100	N
170	NW_004443645.1	4378	4477	100	N
170	NW_004443645.1	5729	5828	100	N
170	NW_004443645.1	9318	9417	100	N
170	NW_004443645.1	11980	12079	100	N
170	NW_004443645.1	14780	14879	100	N
170	NW_004443645.1	20635	20734	100	N
170	NW_004443645.1	22848	22947	100	N
170	NW_004443645.1	24698	24797	100	N
171	NW_004443643.1	1768	1867	100	N
171	NW_004443643.1	13654	13753	100	N
171	NW_004443643.1	18534	18633	100	N
171	NW_004443643.1	27075	27174	100	N
171	NW_004443643.1	47192	47291	100	N
171	NW_004443643.1	55650	55749	100	N
171	NW_004443643.1	59101	59200	100	N
171	NW_004443643.1	60387	60486	100	N
171	NW_004443643.1	62130	62229	100	N
171	NW_004443643.1	74387	74486	100	N
171	NW_004443643.1	82265	82364	100	N
171	NW_004443643.1	85009	85108	100	N
171	NW_004443643.1	90979	91078	100	N
171	NW_004443643.1	100858	100957	100	N
179	NW_004443836.1	1534	1633	100	N
179	NW_004443836.1	2802	2901	100	N
180	NW_004443638.1	2025	2124	100	N
185	NW_004443632.1	2568	2667	100	N
187	NW_004443630.1	1725	1824	100	N
187	NW_004443630.1	6844	6943	100	N
187	NW_004443630.1	9214	9313	100	N
187	NW_004443630.1	10914	11013	100	N
187	NW_004443630.1	56037	56136	100	N
187	NW_004443630.1	80550	80649	100	N
187	NW_004443630.1	91445	91544	100	N
187	NW_004443630.1	98893	98992	100	N
187	NW_004443630.1	107558	107657	100	N
187	NW_004443630.1	113019	113118	100	N
187	NW_004443630.1	115046	115145	100	N
187	NW_004443630.1	117834	117933	100	N
189	NW_004443628.1	12871	12970	100	N
189	NW_004443628.1	14170	14269	100	N
189	NW_004443628.1	33132	33231	100	N
189	NW_004443628.1	36919	37018	100	N
189	NW_004443628.1	41063	41162	100	N
189	NW_004443628.1	43851	43950	100	N
190	NW_004443626.1	2042	2141	100	N
190	NW_004443626.1	8117	8216	100	N
190	NW_004443626.1	9672	9771	100	N
190	NW_004443626.1	13657	13756	100	N
190	NW_004443626.1	19362	19461	100	N
190	NW_004443626.1	24134	24233	100	N
194	NW_004443828.1	1395	1494	100	N
194	NW_004443828.1	7280	7379	100	N
195	NW_004443623.1	8367	8466	100	N
195	NW_004443623.1	15684	15783	100	N
195	NW_004443623.1	23099	23198	100	N
195	NW_004443623.1	47527	47626	100	N
195	NW_004443623.1	50262	50361	100	N
195	NW_004443623.1	52447	52546	100	N
195	NW_004443623.1	56225	56324	100	N
195	NW_004443623.1	86286	86385	100	N
195	NW_004443623.1	111742	111841	100	N
195	NW_004443623.1	127069	127168	100	N
195	NW_004443623.1	141369	141468	100	N
195	NW_004443623.1	143851	143950	100	N
195	NW_004443623.1	162770	162869	100	N
195	NW_004443623.1	164664	164763	100	N
195	NW_004443623.1	198568	198667	100	N
195	NW_004443623.1	214990	215089	100	N
195	NW_004443623.1	217734	217833	100	N
