record_index	seqid	official_length	official_acgt_length	local_acgt_start_0based	local_acgt_end_0based_exclusive
115	NW_004443872.1	1336	1336	3505798	3507134
116	NW_004443871.1	1023	1023	3507134	3508157
117	NW_004443701.1	9891	9791	3508157	3517948
118	NW_004443870.1	2992	2892	3517948	3520840
119	NW_004443699.1	134768	132668	3520840	3653508
120	NW_004443696.1	108154	106654	3653508	3760162
121	NW_004443869.1	1215	1215	3760162	3761377
122	NW_004443868.1	1902	1902	3761377	3763279
123	NW_004443692.1	1212186	1205286	3763279	4968565
124	NW_004443867.1	1012	1012	4968565	4969577
125	NW_004443690.1	6275	6075	4969577	4975652
126	NW_004443866.1	1000	1000	4975652	4976652
127	NW_004443688.1	9148	9048	4976652	4985700
128	NW_004443865.1	1451	1451	4985700	4987151
129	NW_004443685.1	9284	9184	4987151	4996335
130	NW_004443684.1	1351	1351	4996335	4997686
131	NW_004443864.1	1223	1223	4997686	4998909
132	NW_004443681.1	205052	203552	4998909	5202461
133	NW_004443680.1	4465	4365	5202461	5206826
134	NW_004443863.1	1160	1160	5206826	5207986
135	NW_004443862.1	1034	1034	5207986	5209020
136	NW_004443861.1	1017	1017	5209020	5210037
137	NW_004443678.1	34672	34272	5210037	5244309
138	NW_004443860.1	2552	2452	5244309	5246761
139	NW_004443859.1	1715	1715	5246761	5248476
140	NW_004443858.1	1052	1052	5248476	5249528
141	NW_004443857.1	1052	1052	5249528	5250580
142	NW_004443675.1	91671	90071	5250580	5340651
143	NW_004443856.1	1847	1847	5340651	5342498
144	NW_004443674.1	1261	1261	5342498	5343759
145	NW_004443672.1	22738	22438	5343759	5366197
146	NW_004443855.1	1630	1630	5366197	5367827
147	NW_004443670.1	141363	139863	5367827	5507690
148	NW_004443668.1	1784	1784	5507690	5509474
149	NW_004443854.1	1041	1041	5509474	5510515
150	NW_004443853.1	3668	3668	5510515	5514183
151	NW_004443852.1	1060	1060	5514183	5515243
152	NW_004443851.1	1149	1149	5515243	5516392
153	NW_004443850.1	1017	1017	5516392	5517409
154	NW_004443849.1	1463	1463	5517409	5518872
155	NW_004443666.1	5723	5523	5518872	5524395
156	NW_004443664.1	152847	150547	5524395	5674942
157	NW_004443662.1	4141	4041	5674942	5678983
158	NW_004443660.1	1529	1529	5678983	5680512
159	NW_004443658.1	5067	5067	5680512	5685579
160	NW_004443848.1	1995	1995	5685579	5687574
161	NW_004443847.1	1009	1009	5687574	5688583
162	NW_004443846.1	1181	1181	5688583	5689764
163	NW_004443845.1	1064	1064	5689764	5690828
164	NW_004443656.1	1402	1402	5690828	5692230
165	NW_004443844.1	1773	1773	5692230	5694003
166	NW_004443654.1	14515	14015	5694003	5708018
167	NW_004443648.1	1346760	1340460	5708018	7048478
168	NW_004443843.1	1390	1390	7048478	7049868
169	NW_004443647.1	59809	59009	7049868	7108877
170	NW_004443645.1	26227	25427	7108877	7134304
171	NW_004443643.1	102513	101113	7134304	7235417
172	NW_004443842.1	1084	1084	7235417	7236501
173	NW_004443640.1	2522	2522	7236501	7239023
174	NW_004443841.1	1070	1070	7239023	7240093
175	NW_004443840.1	1092	1092	7240093	7241185
176	NW_004443839.1	1016	1016	7241185	7242201
177	NW_004443838.1	1263	1263	7242201	7243464
178	NW_004443837.1	1038	1038	7243464	7244502
179	NW_004443836.1	4158	3958	7244502	7248460
180	NW_004443638.1	5021	4921	7248460	7253381
181	NW_004443835.1	1312	1312	7253381	7254693
182	NW_004443636.1	1718	1718	7254693	7256411
183	NW_004443834.1	1240	1240	7256411	7257651
184	NW_004443634.1	1045	1045	7257651	7258696
185	NW_004443632.1	9062	8962	7258696	7267658
186	NW_004443833.1	1031	1031	7267658	7268689
187	NW_004443630.1	119279	118079	7268689	7386768
188	NW_004443832.1	1549	1549	7386768	7388317
189	NW_004443628.1	46526	45926	7388317	7434243
190	NW_004443626.1	31546	30946	7434243	7465189
191	NW_004443831.1	1218	1218	7465189	7466407
192	NW_004443830.1	1063	1063	7466407	7467470
193	NW_004443829.1	1076	1076	7467470	7468546
194	NW_004443828.1	17846	17646	7468546	7486192
195	NW_004443623.1	400117	397317	7486192	7883509
196	NW_004443827.1	1058	1058	7883509	7884567
197	NW_004443826.1	1560	1560	7884567	7886127
198	NW_004443825.1	1026	1026	7886127	7887153
199	NW_004443824.1	1076	1076	7887153	7888229
200	NW_004443621.1	1199	1199	7888229	7889428
201	NW_004443619.1	24989	24389	7889428	7913817
202	NW_004443823.1	1002	1002	7913817	7914819
203	NW_004443822.1	1249	1249	7914819	7916068
204	NW_004443821.1	1069	1069	7916068	7917137
205	NW_004443820.1	13475	13375	7917137	7930512
206	NW_004443617.1	1336	1336	7930512	7931848
207	NW_004443615.1	536645	535545	7931848	8467393
208	NW_004443819.1	1020	1020	8467393	8468413
209	NW_004443613.1	1253	1253	8468413	8469666
210	NW_004443611.1	29165	28665	8469666	8498331
211	NW_004443608.1	84733	83633	8498331	8581964
212	NW_004443606.1	2059	2059	8581964	8584023
213	NW_004443818.1	2326	2326	8584023	8586349
214	NW_004443817.1	1325	1325	8586349	8587674
215	NW_004443604.1	1426	1426	8587674	8589100
216	NW_004443816.1	2693	2693	8589100	8591793
217	NW_004443602.1	2786	2786	8591793	8594579
218	NW_004443815.1	1035	1035	8594579	8595614
219	NW_004443814.1	1043	1043	8595614	8596657
220	NW_004443813.1	1029	1029	8596657	8597686
221	NW_004443812.1	1271	1271	8597686	8598957
222	NW_004443600.1	1414	1414	8598957	8600371
223	NW_004443811.1	1219	1219	8600371	8601590
224	NW_004443810.1	1215	1215	8601590	8602805
225	NW_004443809.1	1430	1430	8602805	8604235
226	NW_004443808.1	1242	1242	8604235	8605477
227	NW_004443807.1	2573	2473	8605477	8607950
228	NW_004443598.1	1154	1154	8607950	8609104
229	NW_004443806.1	1148	1148	8609104	8610252
230	NW_004443804.1	1052	1052	8610252	8611304
231	NW_004443595.1	1170	1170	8611304	8612474
232	NW_004443802.1	1019	1019	8612474	8613493
233	NW_004443593.1	147924	146724	8613493	8760217
234	NW_004443591.1	6972	6872	8760217	8767089
235	NW_004443800.1	1370	1370	8767089	8768459
236	NW_004443589.1	1954	1954	8768459	8770413
237	NW_004443798.1	1764	1764	8770413	8772177
238	NW_004443587.1	1024	1024	8772177	8773201
239	NW_004443585.1	43421	42821	8773201	8816022
240	NW_004443583.1	1094	1094	8816022	8817116
241	NW_004443580.1	48861	48261	8817116	8865377
242	NW_004443796.1	1827	1827	8865377	8867204
243	NW_004443578.1	183888	183288	8867204	9050492
244	NW_004443576.1	87614	86814	9050492	9137306
245	NW_004443794.1	1022	1022	9137306	9138328
246	NW_004443573.1	47748	46448	9138328	9184776
247	NW_004443571.1	24252	23552	9184776	9208328
248	NW_004443569.1	180855	178355	9208328	9386683
249	NW_004443792.1	1586	1586	9386683	9388269
250	NW_004443790.1	1114	1114	9388269	9389383
251	NW_004443788.1	1159	1159	9389383	9390542
252	NW_004443786.1	1152	1152	9390542	9391694
253	NW_004443568.1	18732	18332	9391694	9410026
254	NW_004443566.1	36433	35833	9410026	9445859
255	NW_004443563.1	186700	184700	9445859	9630559
256	NW_004443784.1	1280	1280	9630559	9631839
257	NW_004443782.1	3929	3829	9631839	9635668
258	NW_004443561.1	16495	16095	9635668	9651763
259	NW_004443780.1	1390	1390	9651763	9653153
260	NW_004443778.1	1030	1030	9653153	9654183
261	NW_004443776.1	1215	1215	9654183	9655398
262	NW_004443559.1	10209	10109	9655398	9665507
263	NW_004443774.1	1525	1525	9665507	9667032
264	NW_004443772.1	1671	1671	9667032	9668703
265	NW_004443771.1	8125	7825	9668703	9676528
266	NW_004443556.1	366851	364951	9676528	10041479
267	NW_004443769.1	1378	1378	10041479	10042857
268	NW_004443554.1	1195	1195	10042857	10044052
269	NW_004443768.1	1024	1024	10044052	10045076
270	NW_004443552.1	320301	318901	10045076	10363977
271	NW_004443766.1	1437	1437	10363977	10365414
272	NW_004443550.1	227525	225725	10365414	10591139
273	NW_004443547.1	108609	105909	10591139	10697048
274	NW_004443545.1	37018	36018	10697048	10733066
275	NW_004443764.1	1447	1447	10733066	10734513
276	NW_004443543.1	60046	59146	10734513	10793659
277	NW_004443762.1	22578	22078	10793659	10815737
278	NW_004443760.1	1331	1331	10815737	10817068
279	NW_004443541.1	24063	23963	10817068	10841031
280	NW_004443758.1	1826	1826	10841031	10842857
281	NW_004443539.1	5250	5150	10842857	10848007
282	NW_004443756.1	1011	1011	10848007	10849018
283	NW_004443754.1	1170	1170	10849018	10850188
284	NW_004443752.1	1214	1214	10850188	10851402
285	NW_004443749.1	1258	1258	10851402	10852660
286	NW_004443536.1	406269	402769	10852660	11255429
287	NW_004443748.1	1010	1010	11255429	11256439
288	NW_004443745.1	8650	8350	11256439	11264789
289	NW_004443743.1	1169	1169	11264789	11265958
290	NW_004443741.1	1255	1255	11265958	11267213
291	NW_004443534.1	1193	1193	11267213	11268406
292	NW_004443739.1	1381	1381	11268406	11269787
293	NW_004443737.1	1134	1134	11269787	11270921
294	NW_004443735.1	1492	1492	11270921	11272413
295	NW_004443733.1	1623	1623	11272413	11274036
296	NW_004443533.1	1303	1303	11274036	11275339
297	NW_004443731.1	8732	8732	11275339	11284071
298	NW_004443729.1	1716	1716	11284071	11285787
299	NW_004443727.1	1009	1009	11285787	11286796
300	NW_004443531.1	60667	59667	11286796	11346463
301	NW_004443725.1	1045	1045	11346463	11347508
302	NW_004443722.1	1826	1826	11347508	11349334
303	NW_004443529.1	1062	1062	11349334	11350396
304	NW_004443721.1	1222	1222	11350396	11351618
305	NW_004443719.1	1191	1191	11351618	11352809
306	NW_004443718.1	1059	1059	11352809	11353868
307	NW_004443716.1	1516	1516	11353868	11355384
308	NW_004443527.1	3473	3373	11355384	11358757
309	NW_004443525.1	4116	4016	11358757	11362773
310	NW_004443714.1	1299	1299	11362773	11364072
311	NW_004443712.1	1244	1244	11364072	11365316
312	NW_004443710.1	1125	1125	11365316	11366441
313	NW_004443708.1	1045	1045	11366441	11367486
314	NW_004443706.1	1568	1568	11367486	11369054
315	NW_004443523.1	143838	143138	11369054	11512192
316	NW_004443704.1	1637	1637	11512192	11513829
317	NW_004443702.1	2297	2297	11513829	11516126
318	NW_004443700.1	1051	1051	11516126	11517177
319	NW_004443698.1	1166	1166	11517177	11518343
320	NW_004443697.1	1165	1165	11518343	11519508
321	NW_004443520.1	121739	120139	11519508	11639647
322	NW_004443695.1	6711	6611	11639647	11646258
323	NW_004443694.1	1455	1455	11646258	11647713
324	NW_004443693.1	1245	1245	11647713	11648958
325	NW_004443518.1	352457	348557	11648958	11997515
326	NW_004443515.1	118861	118061	11997515	12115576
327	NW_004443691.1	1255	1255	12115576	12116831
328	NW_004443689.1	1074	1074	12116831	12117905
329	NW_004443513.1	9199	8999	12117905	12126904
330	NW_004443511.1	191144	189344	12126904	12316248
331	NW_004443687.1	3016	2916	12316248	12319164
332	NW_004443509.1	1077	1077	12319164	12320241
333	NW_004443506.1	262342	260842	12320241	12581083
334	NW_004443686.1	1746	1746	12581083	12582829
335	NW_004443504.1	16815	16415	12582829	12599244
336	NW_004443683.1	1123	1123	12599244	12600367
337	NW_004440455.1	1243	1243	12600367	12601610
338	NW_004440453.1	163033	161533	12601610	12763143
339	NW_004443682.1	1689	1689	12763143	12764832
340	NW_004443679.1	1146	1146	12764832	12765978
341	NW_004443677.1	1361	1361	12765978	12767339
342	NW_004440451.1	101077	99877	12767339	12867216
343	NW_004443676.1	5409	5309	12867216	12872525
344	NW_004440449.1	171162	169562	12872525	13042087
345	NW_004443673.1	1114	1114	13042087	13043201
346	NW_004443671.1	2978	2878	13043201	13046079
347	NW_004443669.1	1537	1537	13046079	13047616
348	NW_004443667.1	1029	1029	13047616	13048645
349	NW_004440445.1	742443	738943	13048645	13787588
350	NW_004440443.1	64480	63380	13787588	13850968
351	NW_004443665.1	4481	4381	13850968	13855349
352	NW_004443663.1	1026	1026	13855349	13856375
353	NW_004443661.1	1838	1838	13856375	13858213
354	NW_004440440.1	358152	355852	13858213	14214065
355	NW_004443659.1	2349	2349	14214065	14216414
356	NW_004440438.1	91853	90553	14216414	14306967
357	NW_004440436.1	80738	79938	14306967	14386905
358	NW_004440432.1	452822	448722	14386905	14835627
359	NW_004440426.1	1191470	1182870	14835627	16018497
360	NW_004443657.1	1131	1131	16018497	16019628
361	NW_004443655.1	1779	1779	16019628	16021407
362	NW_004440424.1	95032	94732	16021407	16116139
363	NW_004443653.1	11803	11703	16116139	16127842
364	NW_004440422.1	13237	12837	16127842	16140679
365	NW_004443652.1	1179	1179	16140679	16141858
366	NW_004440419.1	110925	108925	16141858	16250783
367	NW_004443651.1	1021	1021	16250783	16251804
368	NW_004443650.1	1596	1596	16251804	16253400
369	NW_004443649.1	5034	4934	16253400	16258334
370	NW_004443646.1	1048	1048	16258334	16259382
371	NW_004443644.1	1046	1046	16259382	16260428
372	NW_004443642.1	1285	1285	16260428	16261713
373	NW_004443641.1	1228	1228	16261713	16262941
374	NW_004443639.1	1058	1058	16262941	16263999
375	NW_004440417.1	140414	137814	16263999	16401813
376	NW_004440415.1	79473	78273	16401813	16480086
377	NW_004443637.1	1598	1598	16480086	16481684
378	NW_004443635.1	1036	1036	16481684	16482720
379	NW_004443633.1	1944	1944	16482720	16484664
380	NW_004440413.1	45949	45249	16484664	16529913
381	NW_004440411.1	1518	1518	16529913	16531431
382	NW_004443631.1	1316	1316	16531431	16532747
383	NW_004440409.1	48620	47820	16532747	16580567
384	NW_004443629.1	6389	6189	16580567	16586756
385	NW_004440407.1	1202	1202	16586756	16587958
386	NW_004440406.1	15008	14808	16587958	16602766
387	NW_004440403.1	98422	96622	16602766	16699388
388	NW_004443627.1	1112	1112	16699388	16700500
389	NW_004440401.1	31431	30631	16700500	16731131
390	NW_004443625.1	1013	1013	16731131	16732144
391	NW_004440399.1	43655	43055	16732144	16775199
392	NW_004443624.1	1016	1016	16775199	16776215
393	NW_004443622.1	3328	3228	16776215	16779443
394	NW_004443620.1	10224	10024	16779443	16789467
395	NW_004443618.1	1350	1350	16789467	16790817
396	NW_004443616.1	1311	1311	16790817	16792128
397	NW_004443614.1	1159	1159	16792128	16793287
398	NW_004443612.1	1196	1196	16793287	16794483
399	NW_004443610.1	2082	2082	16794483	16796565
400	NW_004440397.1	1025	1025	16796565	16797590
401	NW_004440395.1	14094	13894	16797590	16811484
402	NW_004440393.1	56690	55590	16811484	16867074
403	NW_004440391.1	1703	1703	16867074	16868777
404	NW_004440389.1	3809	3809	16868777	16872586
405	NW_004443609.1	1065	1065	16872586	16873651
406	NW_004443607.1	1053	1053	16873651	16874704
407	NW_004440387.1	1961	1961	16874704	16876665
408	NW_004443605.1	2371	2371	16876665	16879036
409	NW_004443603.1	1047	1047	16879036	16880083
410	NW_004443601.1	1651	1651	16880083	16881734
411	NW_004443599.1	1353	1353	16881734	16883087
412	NW_004440383.1	468195	466095	16883087	17349182
413	NW_004440380.1	210119	207319	17349182	17556501
414	NW_004443597.1	1474	1474	17556501	17557975
415	NW_004443596.1	2216	2216	17557975	17560191
416	NW_004443594.1	1065	1065	17560191	17561256
417	NW_004440378.1	1183	1183	17561256	17562439
418	NW_004443592.1	1056	1056	17562439	17563495
419	NW_004443590.1	1057	1057	17563495	17564552
420	NW_004440376.1	102388	100288	17564552	17664840
421	NW_004443588.1	1312	1312	17664840	17666152
422	NW_004440373.1	18615	18215	17666152	17684367
423	NW_004443586.1	1205	1205	17684367	17685572
424	NW_004443584.1	1087	1087	17685572	17686659
425	NW_004440371.1	8364	8164	17686659	17694823
426	NW_004443582.1	1164	1164	17694823	17695987
427	NW_004443581.1	1142	1142	17695987	17697129
428	NW_004443579.1	1442	1442	17697129	17698571
429	NW_004443577.1	1250	1250	17698571	17699821
430	NW_004440369.1	1220	1220	17699821	17701041
431	NW_004443575.1	2507	2507	17701041	17703548
432	NW_004443574.1	1181	1181	17703548	17704729
433	NW_004443572.1	1139	1139	17704729	17705868
434	NW_004440367.1	118613	117513	17705868	17823381
435	NW_004443570.1	3178	3178	17823381	17826559
436	NW_004443567.1	1219	1219	17826559	17827778
437	NW_004443565.1	2233	2233	17827778	17830011
438	NW_004440365.1	5323	5223	17830011	17835234
439	NW_004443564.1	3255	3155	17835234	17838389
440	NW_004440363.1	72205	70805	17838389	17909194
441	NW_004443562.1	1621	1621	17909194	17910815
442	NW_004443560.1	2076	2076	17910815	17912891
443	NW_004440361.1	107741	106441	17912891	18019332
444	NW_004443558.1	1308	1308	18019332	18020640
445	NW_004443557.1	1405	1405	18020640	18022045
446	NW_004440359.1	92189	91289	18022045	18113334
447	NW_004443555.1	8861	8761	18113334	18122095
448	NW_004440356.1	299197	297397	18122095	18419492
449	NW_004443553.1	1189	1189	18419492	18420681
450	NW_004443551.1	1421	1421	18420681	18422102
451	NW_004443549.1	1033	1033	18422102	18423135
452	NW_004440354.1	43104	42704	18423135	18465839
453	NW_004443548.1	1634	1634	18465839	18467473
454	NW_004443546.1	1144	1144	18467473	18468617
455	NW_004443544.1	1011	1011	18468617	18469628
456	NW_004443542.1	1361	1361	18469628	18470989
457	NW_004443540.1	1659	1659	18470989	18472648
458	NW_004443538.1	2522	2522	18472648	18475170
459	NW_004443537.1	1637	1637	18475170	18476807
460	NW_004440352.1	69255	68555	18476807	18545362
461	NW_004443535.1	1030	1030	18545362	18546392
462	NW_004440350.1	7558	7558	18546392	18553950
463	NW_004443532.1	1485	1485	18553950	18555435
464	NW_004440347.1	316119	313319	18555435	18868754
465	NW_004440345.1	1154	1154	18868754	18869908
466	NW_004440343.1	1164	1164	18869908	18871072
467	NW_004440342.1	1499	1499	18871072	18872571
468	NW_004443530.1	7724	7424	18872571	18879995
469	NW_004440339.1	1300	1300	18879995	18881295
470	NW_004440337.1	121211	119811	18881295	19001106
471	NW_004440335.1	122114	120814	19001106	19121920
472	NW_004443528.1	1788	1788	19121920	19123708
473	NW_004443526.1	1035	1035	19123708	19124743
474	NW_004443524.1	1497	1497	19124743	19126240
475	NW_004443522.1	1172	1172	19126240	19127412
476	NW_004440333.1	1284	1284	19127412	19128696
477	NW_004443521.1	1473	1473	19128696	19130169
478	NW_004443519.1	2431	2431	19130169	19132600
479	NW_004440331.1	140102	138802	19132600	19271402
480	NW_004443517.1	1089	1089	19271402	19272491
481	NW_004443516.1	3293	3193	19272491	19275684
482	NW_004440329.1	5037	4937	19275684	19280621
483	NW_004440327.1	5537	5437	19280621	19286058
484	NW_004440325.1	129272	127272	19286058	19413330
485	NW_004443514.1	1464	1464	19413330	19414794
486	NW_004443512.1	1063	1063	19414794	19415857
487	NW_004443510.1	2603	2503	19415857	19418360
488	NW_004440323.1	1004	1004	19418360	19419364
489	NW_004443508.1	1189	1189	19419364	19420553
490	NW_004443507.1	4848	4748	19420553	19425301
491	NW_004440321.1	33120	32920	19425301	19458221
492	NW_004443505.1	3423	3323	19458221	19461544
493	NW_004440456.1	1053	1053	19461544	19462597
494	NW_004440454.1	1110	1110	19462597	19463707
495	NW_004440319.1	58221	57221	19463707	19520928
496	NW_004440317.1	1514	1514	19520928	19522442
497	NW_004440452.1	1243	1243	19522442	19523685
498	NW_004440450.1	1006	1006	19523685	19524691
499	NW_004440448.1	1056	1056	19524691	19525747
500	NW_004440315.1	1253	1253	19525747	19527000
501	NW_004440313.1	1198	1198	19527000	19528198
502	NW_004440447.1	1298	1298	19528198	19529496
503	NW_004440311.1	3506	3406	19529496	19532902
504	NW_004440309.1	284829	283829	19532902	19816731
505	NW_004440307.1	68065	67065	19816731	19883796
506	NW_004440446.1	1078	1078	19883796	19884874
507	NW_004440305.1	19620	19220	19884874	19904094
508	NW_004440444.1	1417	1417	19904094	19905511
509	NW_004440442.1	1078	1078	19905511	19906589
510	NW_004440441.1	1453	1453	19906589	19908042
511	NW_004440439.1	1327	1327	19908042	19909369
512	NW_004440437.1	1206	1206	19909369	19910575
513	NW_004440435.1	1121	1121	19910575	19911696
514	NW_004440434.1	1371	1371	19911696	19913067
515	NW_004440433.1	1013	1013	19913067	19914080
516	NW_004440431.1	3227	3127	19914080	19917207
517	NW_004440430.1	1657	1657	19917207	19918864
518	NW_004440304.1	1379	1379	19918864	19920243
519	NW_004440302.1	82811	82211	19920243	20002454
520	NW_004440429.1	2016	2016	20002454	20004470
521	NW_004440428.1	1101	1101	20004470	20005571
522	NW_004440300.1	214776	211676	20005571	20217247
523	NW_004440427.1	4820	4720	20217247	20221967
524	NW_004440425.1	7967	7767	20221967	20229734
525	NW_004440423.1	1502	1502	20229734	20231236
526	NW_004440421.1	1211	1211	20231236	20232447
527	NW_004440298.1	19268	18968	20232447	20251415
528	NW_004440420.1	1055	1055	20251415	20252470
529	NW_004440418.1	1031	1031	20252470	20253501
530	NW_004440416.1	1272	1272	20253501	20254773
531	NW_004440414.1	3200	3100	20254773	20257873
532	NW_004440296.1	34476	34076	20257873	20291949
533	NW_004440412.1	1016	1016	20291949	20292965
534	NW_004440410.1	1684	1684	20292965	20294649
535	NW_004440294.1	1431	1431	20294649	20296080
536	NW_004440408.1	1068	1068	20296080	20297148
537	NW_004440405.1	1080	1080	20297148	20298228
538	NW_004440404.1	1591	1591	20298228	20299819
539	NW_004440291.1	43457	42657	20299819	20342476
540	NW_004440289.1	9850	9450	20342476	20351926
541	NW_004440402.1	1372	1372	20351926	20353298
542	NW_004440400.1	3430	3330	20353298	20356628
543	NW_004440398.1	3691	3591	20356628	20360219
544	NW_004440396.1	1348	1348	20360219	20361567
545	NW_004440286.1	487712	484612	20361567	20846179
546	NW_004440394.1	1070	1070	20846179	20847249
547	NW_004440284.1	38252	37752	20847249	20885001
548	NW_004440283.1	5466	5466	20885001	20890467
549	NW_004440392.1	14833	14733	20890467	20905200
550	NW_004440390.1	1152	1152	20905200	20906352
551	NW_004440388.1	2112	2112	20906352	20908464
552	NW_004440386.1	1333	1333	20908464	20909797
553	NW_004440280.1	4089	3989	20909797	20913786
554	NW_004440278.1	19668	19168	20913786	20932954
555	NW_004440277.1	4062	3962	20932954	20936916
556	NW_004440274.1	214029	211929	20936916	21148845
557	NW_004440273.1	23747	23347	21148845	21172192
558	NW_004440271.1	155172	153772	21172192	21325964
