segment,window_bases,model,scored_bases,trace_generation_seconds,model_seconds,trace_bases_per_second,model_bases_per_second,factorize_seconds,probability_transfer_seconds
segment_b,12288,evo2,2359296,341.0297009390779,339.78005853807554,6918.1540302891935,6943.597602964151,,0.03679090924561024
segment_b,12288,evo2_optimized,2359296,310.49644493102096,306.5467682837043,7598.463810186731,7696.365592791075,,0.24316865601576865
segment_b,24576,stap,2359296,5.099854502012022,,462620.2569248197,,,
segment_b,24576,carbon,2359296,1250.92263089295,24.498962327023037,1886.0447015143184,96301.87468787732,368.3754352325341,305.84437556168996
segment_b,24576,evo2,2359296,365.68681884999387,364.4160029294435,6451.684551878235,6474.183298851439,,0.024444614071398973
segment_b,24576,evo2_optimized,2359296,340.78293880005367,333.48515519709326,6923.163490248146,7074.665733188726,,0.10857796552591026
segment_b,49152,stap,2359296,5.737064973916858,,411237.4551667734,,,
segment_b,49152,carbon,2359296,638.8139677890576,26.06765711400658,3693.2442290915305,90506.63777268697,312.1239971166942,118.90463723475114
segment_b,49152,evo2,2359296,381.6478784480132,380.4128004568629,6181.8658853657835,6201.936415300866,,0.01725316676311195
segment_b,49152,evo2_optimized,2359296,387.8846753879916,385.57120158313774,6082.467675837035,6118.963216943689,,0.05491367680951953
segment_b,98304,stap,2359296,7.43389508407563,,317370.09647256375,,,
segment_b,98304,carbon,2359296,653.7594631549437,29.797838368685916,3608.8135361198392,79176.75003161798,319.2201415144373,120.20723735168576
segment_b,98304,evo2,2359296,425.73101604520343,420.356511980528,5541.752682049113,5612.607233997814,,0.025559078436344862
segment_b,98304,evo2_optimized,2359296,443.9358436081093,441.8847660294268,5314.497655392526,5339.165731372793,,0.047628227388486266
segment_b,196608,stap,2359296,9.80990816198755,,240501.33406366073,,,
segment_b,196608,carbon,2359296,650.583992918022,37.394758336711675,3626.4279872887796,63091.62312953901,314.8333710182924,118.18943989812396
segment_b,196608,evo2_optimized,2359296,492.1304800650105,490.34295057924464,4794.045676033593,4811.522215651212,,0.034821081440895796
segment_c,6144,stap,2359296,4.4673451110720634,,528120.380525923,,,
segment_c,6144,carbon,2359296,645.5048876410583,24.02941217238549,3654.96225539336,98183.67520081469,319.2808501936961,118.94671729812399
segment_c,6144,evo2,2359296,334.23591036791913,332.81900297594257,7058.774736092665,7088.825995222812,,0.0629024226218462
segment_c,6144,evo2_optimized,2359296,299.2230087250937,295.9189021580387,7884.741250521832,7972.778970165253,,0.07799272728152573
segment_c,12288,stap,2359296,4.676169124082662,,504536.0715995981,,,
segment_c,12288,carbon,2359296,647.7587724430487,23.312497006030753,3642.2447682210754,101203.058573677,320.41529300203547,119.49059278517962
segment_c,12288,evo2,2359296,336.2798924150411,334.931732586585,7015.869973837524,7044.110099033646,,0.03741492098197341
segment_c,12288,evo2_optimized,2359296,314.3766822030302,310.0387664088048,7504.678729564057,7609.680645191079,,0.23403107491321862
segment_c,24576,stap,2359296,5.090810967958532,,463442.07530968334,,,
segment_c,24576,carbon,2359296,741.0004903150257,24.084013465908356,3183.9331158836067,97961.08125166324,326.5206620203098,148.64748072670773
segment_c,24576,evo2,2359296,360.9633527358528,359.6901145973243,6536.109502857192,6559.246151763857,,0.02687774319201708
segment_c,24576,evo2_optimized,2359296,341.63130117207766,334.63947815448046,6905.971413935624,7050.262010362305,,0.11432923399843276
segment_c,49152,stap,2359296,5.838264615973458,,404109.1240614514,,,
segment_c,49152,carbon,2359296,634.2613091070671,26.02804809762165,3719.7539344178044,90644.36914943246,310.5459301448427,116.70205021719448
segment_c,49152,evo2,2359296,376.27933676703833,375.0670001578983,6270.065266593911,6290.332124678437,,0.017387541942298412
segment_c,49152,evo2_optimized,2359296,387.0980437840335,384.6366505343467,6094.828010332903,6133.83045199257,,0.05398841202259064
segment_c,98304,stap,2359296,7.297361542005092,,323308.0869598435,,,
segment_c,98304,carbon,2359296,644.3194839810021,29.592001757817343,3661.686568009426,79727.48918132052,314.7835643677972,118.49972333060578
segment_c,98304,evo2,2359296,426.1292297539767,423.91967977257445,5536.5739669210825,5565.431643243648,,0.027221464784815907
segment_c,98304,evo2_optimized,2359296,443.04927111906,440.9976116337348,5325.132335825443,5349.906525025547,,0.048028248362243176
segment_c,196608,stap,2359296,10.066029618028551,,234381.9847076977,,,
segment_c,196608,carbon,2359296,644.2151496799197,36.94323854264803,3662.279598938683,63862.72814919516,308.216569454642,118.02210570825264
segment_c,196608,evo2_optimized,2359296,490.28296944801696,488.46175094740465,4812.110856422779,4830.052702026281,,0.03568366286344826
