split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
val,AnCa,AnCa,2,28437935,1.618221971336665,5752361,53.99137793784037,526712.4879224282,1.6625930117640397,5910089,10.645502664992819,2671356.712306002,,,,-0.04437104042737472,97.33121454779265,
val,DaRe,DaRe,3,12513004,1.6541589576858569,2587312,23.8985933231451,523587.42754459596,1.5994867419526118,2501798,13.231865948997438,945671.9141677894,1.469040559724907,11488819,10,0.0546722157332451,103.41810996610717,112.60131292737181
val,OrSa,OrSa,4,8652504,1.846808738834446,1997440,16.48824465246731,524768.0503518751,1.7414177445049432,1883453,9.499762735009426,910812.6425213729,1.5988975955008449,8646543,10,0.10539099432950283,106.0520225352053,115.50512953620051
val,DrMe,DrMe,5,6436285,1.883604887540699,1515427,12.169150539036778,528901.6665011566,1.892991376236447,1522979,8.009468386997469,803584.5438192419,1.8597292245785606,7481093,10,-0.009386488695747985,99.5041451950822,101.28382469052983
val,EnIn,EnIn,6,5280617,1.8788735781722394,1240201,9.911115759152333,532797.2277110842,1.7358410958416413,1145789,6.425754181022057,821789.4508936979,1.5667528573458096,5170889,9,0.14303248233059818,108.2399525321324,119.92150321367114
val,ScPo,ScPo,7,2130431,1.938099791168821,516123,3.97169740113828,536402.6472382875,1.9450261472913228,517968,3.7186722819751594,572900.9814407278,1.8917959793112287,2518963,8,-0.00692635612250192,99.64389393262668,102.44761128387907
val,WaMe,WaMe,8,1828886,1.942019286078286,443966,3.399817810417635,537935.8842100245,1.9493002844354432,445631,1.1518566309823655,1587772.254642687,,,,-0.007280998357157342,99.62648143976104,
val,PlFa,PlFa,9,1797342,1.798825154033011,404138,3.4027452812601604,528203.5096480624,1.796426055809078,403599,3.4287919639900792,524191.0325490953,1.7142874946921633,1925726,7,0.002399098223932805,100.13354839828641,104.9313583399865
val,EsCo,EsCo,10,928330,1.8925617965182602,219615,1.7863091125531023,519691.1293102991,1.9254273803496602,223429,0.7748405059974175,1198091.727025812,1.893381063466197,1098552,6,-0.032865583831400036,98.29307590788329,99.95672994920331
val,HaHi,HaHi,11,778001,1.8020897199096657,175253,1.4709474478332727,528910.1260184407,1.86373025227474,181248,0.698526533000404,1113774.44269472,1.8567194643708684,902831,5,-0.061640532365074385,96.69262586203983,97.05772759377446
val,HePy,HePy,12,333565,1.816167212289096,75726,0.6480546470095123,514715.85234247055,1.8317988997646635,76378,0.45400103999418207,734722.9865470673,1.801057065339589,375481,4,-0.015631687475567535,99.14664827686185,100.83895992194216
val,AeCa,AeCa,13,318209,1.8678156043078877,74294,0.6104683939697723,521250.57274587784,1.9191411933666238,76336,0.5047164960124064,630470.7742149527,1.9112673462602345,380115,5,-0.051325589058736076,97.32559598865683,97.72654819654777
val,YeMi,YeMi,14,14737,1.8355048859934853,3381,0.0476986411297074,308939.6186345906,1.86795141480627,3441,0.058460233005462214,252085.89227865468,1.8236643189621247,16798,3,-0.03244652881278465,98.26298861118131,100.64927338371676
val,AgPh,AgPh,15,8794,1.9433640395769363,2136,0.03815856302738607,230433.2056133597,1.996816010916534,2195,0.03448306498466991,255023.73422749797,1.94823743461451,10708,2,-0.05345197133959778,97.32313988633017,99.74985620587165
val,BuEb,BuEb,16,3788,1.9841521394611727,939,0.030815976898204953,122858.34755478859,2.061246040126716,976,0.03462424999452196,109403.09178102961,1.9793030623020063,4686,1,-0.07709390066554311,96.25983996258866,100.24498912023745
test,HoSa,HoSa,0,37950534,1.6209761896894521,7689614,71.49786426405412,530792.5543040285,1.7027148023793288,8077367,41.8127558559936,907630.5357796699,1.6377379085796986,38845642,12,-0.0817386126898767,95.19951241537001,98.976532276475
test,GaGa,GaGa,1,29706460,1.8059488005621942,6706043,55.582850538844156,534453.6797233815,1.8108459910739954,6724228,29.69581701399875,1000358.400174551,1.8246629113531365,33877671,11,-0.004897190511801153,99.72956338993264,98.97437983342007
test,AnCa,AnCa,2,28437935,1.6298107179590022,5793556,54.11825052426978,525477.6849677868,1.6669967070393825,5925743,10.747870527993655,2645913.4324265644,,,,-0.03718598908038029,97.76928239129978,
test,DaRe,DaRe,3,12513004,1.590431969048517,2487635,23.957623474663603,522297.339434904,1.5032016292810264,2351196,13.154905149014667,951204.4258971532,1.469040559724907,11488819,10,0.0872303397674905,105.80297001202774,108.26331230407564
test,OrSa,OrSa,4,8652506,1.8439471394639055,1994345,16.44336204192041,526200.4192294412,1.7523237776431475,1895249,9.705336028011516,891520.4970778095,1.5988975955008449,8646543,10,0.09162336182075803,105.22867765590615,115.32615626245284
test,DrMe,DrMe,5,6436287,1.8925321384829483,1522610,12.157007882795801,529430.1905576965,1.8960981696434607,1525479,7.856882160005625,819190.9804582575,1.8597292245785606,7481093,10,-0.0035660311605123507,99.81192792558927,101.76385430044641
test,EnIn,EnIn,6,5280618,1.8774953992127437,1239292,9.9662113435303,529852.0990554735,1.7617650055353369,1162901,6.666002901998581,792171.5723251157,1.5667528573458096,5170889,9,0.11573039367740678,106.56900286438828,119.83353918328599
test,ScPo,ScPo,7,2130431,1.939526733817461,516503,3.9338665244729345,541561.0790926461,1.8645166165907274,496528,3.6828264860087074,578477.1582624495,1.8917959793112287,2518963,8,0.07501011722673367,104.02303291691173,102.5230392192508
test,WaMe,WaMe,8,1828887,1.9443606958767818,444502,3.408157400482984,536620.4623474317,1.927165538384821,440571,1.094467570015695,1671028.9551784282,,,,0.017195157491960877,100.89225119220285,
test,PlFa,PlFa,9,1797343,1.7992480006587506,404233,3.3677242194001815,533696.3132688225,1.8075748479839406,406104,3.465886951016728,518580.9651041112,1.7142874946921633,1925726,7,-0.008326847325190068,99.53933595975418,104.95602436753724
test,EsCo,EsCo,10,928331,1.8937941182490259,219758,1.7569055068184591,528388.6904544401,1.9015975982704445,220664,0.7765087230072822,1195519.087544486,1.893381063466197,1098552,6,-0.007803480021418618,99.58963557650073,100.0218157237758
test,HaHi,HaHi,11,778001,1.877863596225702,182622,1.4844653167734772,524093.75362908473,1.9030104074416356,185068,0.7271839099994395,1069882.033006753,1.8567194643708684,902831,5,-0.02514681121593365,98.6785773153106,101.13878979892085
test,HePy,HePy,12,333565,1.8121380005036514,75558,0.6778961237901612,492057.6889199809,1.8454214321046873,76946,0.4564387240097858,730799.0809141963,1.801057065339589,375481,4,-0.03328343160103597,98.19643193570823,100.61524620054018
test,AeCa,AeCa,13,318211,1.8513308821218692,73639,0.6102355656497553,521454.3660056625,1.9053521091351335,75788,0.5200132830068469,611928.599515813,1.9112673462602345,380115,5,-0.054021227013264284,97.16476410033287,96.86404603439479
test,YeMi,YeMi,14,14739,1.8329601736888528,3377,0.047951507975065796,307373.0237569192,1.8579279462650111,3423,0.05844123201677576,252202.07533901953,1.8236643189621247,16798,3,-0.024967772576158342,98.65614957639498,100.50973496767315
test,AgPh,AgPh,15,8794,1.9561014443307176,2150,0.03827408707663643,229737.68080721883,2.005003411416875,2204,0.034137990995077416,257601.56774509858,1.94823743461451,10708,2,-0.04890196708615746,97.56100329766522,100.40364739823222
test,BuEb,BuEb,16,3788,1.9651347068145801,930,0.02991171696410915,126572.47340708638,2.0527983104540657,972,0.02759316097944975,137280.39360264473,1.9793030623020063,4686,1,-0.08766360363948555,95.72955593381724,99.2841745280307
