species,pair_key,pair_label,model_a,model_b,model_a_label,model_b_label,core_base_count,window_bases,window_count,effective_windows,pearson_z_window_bpb_corr,pearson_raw_window_bpb_corr,status,model_a_mean_window_bpb,model_a_std_window_bpb,model_b_mean_window_bpb,model_b_std_window_bpb,model_a_full_bpb,model_b_full_bpb
DaRe,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,62565020,8192,7638,7638,0.6478370714737102,0.6478370714737101,ok,1.4166701514092972,0.19303603569500974,1.4742804091004593,0.28076851320235796,1.416678402280909,1.4742879641589137
DaRe,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,62565020,8192,7638,7638,0.92083291793686,0.9208329179368601,ok,1.350942302738647,0.2166038239789394,1.4166701514092972,0.19303603569500974,1.35094306590309,1.416678402280909
OrSa,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,43262523,8192,5282,5282,0.6663866363881794,0.6663866363881795,ok,1.5942764316220572,0.19191720710904864,1.6021351176859977,0.39953432054208093,1.5942965463313044,1.6020771255895818
OrSa,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,43262523,8192,5282,5282,0.7323618855704669,0.7323618855704668,ok,1.532920776909035,0.1989560059560132,1.6021351176859977,0.39953432054208093,1.5329368490755257,1.6020771255895818
OrSa,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,43262523,8192,5282,5282,0.9446943509055913,0.9446943509055906,ok,1.5942764316220572,0.19191720710904864,1.532920776909035,0.1989560059560132,1.5942965463313044,1.5329368490755257
DrMe,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,32181429,8192,3929,3929,0.22517371430742544,0.22517371430742536,ok,1.6962087881646073,0.1864422557863976,1.8613368004340654,0.1431999878598445,1.6961821757648479,1.8613661167881657
DrMe,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,32181429,8192,3929,3929,0.23393061067400206,0.23393061067400203,ok,1.672222051676809,0.18458196787990788,1.8613368004340654,0.1431999878598445,1.6722110600499636,1.8613661167881657
DrMe,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,32181429,8192,3929,3929,0.9849894970627823,0.9849894970627826,ok,1.6962087881646073,0.1864422557863976,1.672222051676809,0.18458196787990788,1.6961821757648479,1.6722110600499636
EnIn,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,40496007,8192,4944,4944,0.19936839509300103,0.19936839509300094,ok,1.7019946183551593,0.08222372084037116,1.4026602039965497,0.40384426761547254,1.7019902313276472,1.4027163866456023
EnIn,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,40496007,8192,4944,4944,0.13405250728186802,0.13405250728186807,ok,1.666453835935251,0.08457985294891195,1.4026602039965497,0.40384426761547254,1.6664483566073751,1.4027163866456023
EnIn,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,40496007,8192,4944,4944,0.9846866037081958,0.9846866037081958,ok,1.7019946183551593,0.08222372084037116,1.666453835935251,0.08457985294891195,1.7019902313276472,1.6664483566073751
ScPo,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,12590851,8192,1537,1537,0.07857637769075594,0.0785763776907559,ok,1.6798943546265088,0.12230744222251633,1.8588378357356263,0.23864267566889116,1.6798997337962518,1.8588373611068552
ScPo,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,12590851,8192,1537,1537,0.09993109106517059,0.09993109106517063,ok,1.664190718765845,0.12548690437338278,1.8588378357356263,0.23864267566889116,1.6641981476181098,1.8588373611068552
ScPo,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,12590851,8192,1537,1537,0.9900063357706494,0.9900063357706496,ok,1.6798943546265088,0.12230744222251633,1.664190718765845,0.12548690437338278,1.6798997337962518,1.6641981476181098
WaMe,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,9144432,8192,1117,1117,-0.0356133055381056,-0.03561330553810557,ok,1.7116183319168996,0.10714784083907902,1.9422743831521443,0.04785850253170959,1.7116795190549101,1.9424551738471996
WaMe,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,9144432,8192,1117,1117,-0.041279243192182874,-0.04127924319218288,ok,1.6727189272273653,0.11460947172491984,1.9422743831521443,0.04785850253170959,1.6727701904859076,1.9424551738471996
WaMe,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,9144432,8192,1117,1117,0.9844896318801831,0.9844896318801829,ok,1.7116183319168996,0.10714784083907902,1.6727189272273653,0.11460947172491984,1.7116795190549101,1.6727701904859076
PlFa,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,23326872,8192,2848,2848,0.43861125618771074,0.4386112561877107,ok,1.413880556080068,0.11697224335392545,1.5084761962606386,0.22457003324463687,1.4139072280340026,1.5085020810191956
PlFa,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,23326872,8192,2848,2848,0.4924095567376741,0.49240955673767384,ok,1.3921867822652294,0.1224948591164119,1.5084761962606386,0.22457003324463687,1.3922759115732382,1.5085020810191956
PlFa,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,23326872,8192,2848,2848,0.9729956060748832,0.9729956060748828,ok,1.413880556080068,0.11697224335392545,1.3921867822652294,0.1224948591164119,1.4139072280340026,1.3922759115732382
EsCo,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,4641652,8192,567,567,0.08951003278471963,0.08951003278471957,ok,1.1719570277717606,0.24923138414191676,1.8962670494785936,0.11690381571041492,1.1718664556422507,1.8962380432202752
EsCo,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,4641652,8192,567,567,0.17855590112965064,0.17855590112965075,ok,0.7728609774402043,0.23038811667610645,1.8962670494785936,0.11690381571041492,0.7727940272274673,1.8962380432202752
EsCo,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,4641652,8192,567,567,0.7554690643635342,0.7554690643635341,ok,1.1719570277717606,0.24923138414191676,0.7728609774402043,0.23038811667610645,1.1718664556422507,0.7727940272274673
HaHi,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,3890005,8192,475,475,0.3619735847687887,0.3619735847687891,ok,1.4620130176515493,0.17642389731522182,1.8590976393250251,0.06369778296277599,1.461911903224991,1.859065527718485
HaHi,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,3890005,8192,475,475,0.45452864510633895,0.45452864510633917,ok,1.1909547360098047,0.219987384167811,1.8590976393250251,0.06369778296277599,1.190829879226061,1.859065527718485
HaHi,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,3890005,8192,475,475,0.9306835170723923,0.9306835170723928,ok,1.4620130176515493,0.17642389731522182,1.1909547360098047,0.219987384167811,1.461911903224991,1.190829879226061
HePy,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,1667850,8192,204,204,-0.11255074296499003,-0.11255074296498997,ok,1.4550767403773235,0.12493621971434386,1.8026665088601754,0.11630053830285923,1.4551387108326874,1.8026780485316154
HePy,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,1667850,8192,204,204,-0.0912132323489696,-0.09121323234896955,ok,1.2857161457896082,0.14514681513085614,1.8026665088601754,0.11630053830285923,1.2857018656217416,1.8026780485316154
HePy,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,1667850,8192,204,204,0.9625619109394775,0.9625619109394781,ok,1.4550767403773235,0.12493621971434386,1.2857161457896082,0.14514681513085614,1.4551387108326874,1.2857018656217416
AeCa,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,1591049,8192,195,195,0.483445745834546,0.483445745834546,ok,1.6208394513134388,0.1114126677994323,1.910862950522738,0.0329367301827977,1.6199345655772992,1.910865123477936
AeCa,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,1591049,8192,195,195,0.4957353889797436,0.4957353889797435,ok,1.4933377297011334,0.13496094945203874,1.910862950522738,0.0329367301827977,1.4924601795040147,1.910865123477936
AeCa,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,1591049,8192,195,195,0.9632108356076584,0.9632108356076594,ok,1.6208394513134388,0.1114126677994323,1.4933377297011334,0.13496094945203874,1.6199345655772992,1.4924601795040147
YeMi,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,73689,8192,9,9,0.3207531143345947,0.3207531143345947,ok,1.7133117523888917,0.04802611394335729,1.81663113186577,0.01042240088119425,1.7133479216412417,1.8166345902484298
YeMi,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,73689,8192,9,9,0.1351810975034416,0.13518109750344148,ok,1.3912063176158123,0.1146446075004214,1.81663113186577,0.01042240088119425,1.3912601965374432,1.8166345902484298
YeMi,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,73689,8192,9,9,0.7048197456647689,0.7048197456647687,ok,1.7133117523888917,0.04802611394335729,1.3912063176158123,0.1146446075004214,1.7133479216412417,1.3912601965374432
AgPh,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,43970,8192,6,6,0.955046904266043,0.9550469042660429,ok,1.8082673592982184,0.04989608603448667,1.939740218293988,0.007036581588138237,1.8203309654853668,1.941196622077699
AgPh,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,43970,8192,6,6,-0.05745199976047395,-0.057451999760473944,ok,1.3444264218911295,0.15370877924766016,1.939740218293988,0.007036581588138237,1.3213613187473006,1.941196622077699
AgPh,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,43970,8192,6,6,-0.34356036556349584,-0.34356036556349595,ok,1.8082673592982184,0.04989608603448667,1.3444264218911295,0.15370877924766016,1.8203309654853668,1.3213613187473006
BuEb,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,18940,8192,3,3,0.04128431761921253,0.04128431761921251,ok,1.9263658302460958,0.014495800095458495,1.9585151624432946,0.003459668406373271,1.9277192540692547,1.9599469325961165
BuEb,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,18940,8192,3,3,-0.016382298049044095,-0.016382298049044133,ok,1.9166240424596281,0.012911094286504922,1.9585151624432946,0.003459668406373271,1.91752209118082,1.9599469325961165
BuEb,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,18940,8192,3,3,0.9983370226966881,0.9983370226966882,ok,1.9263658302460958,0.014495800095458495,1.9166240424596281,0.012911094286504922,1.9277192540692547,1.91752209118082
